country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ghana,416,440,467,478,504,540,570,602,610,626,645,677,700,717,733,759,782,816,845,880,918,945,972,1000,1030,1060,1090
Greece,1560,1590,1640,1670,1700,1740,1760,1790,1820,1870,1920,1960,2000,2040,2090,2100,2100,2090,2110,2110,2150,2180,2240,2250,2280,2290,2310
Grenada,8.15,8.14,8.21,8.55,8.76,9.05,9.25,9.44,9.66,9.83,10.2,10.6,10.9,11.3,11.5,11.7,11.9,12.2,12.3,12.5,13,13.3,13.8,13.9,14.3,14.6,14.4
Guatemala,175,188,195,201,210,214,216,225,242,251,262,269,280,289,300,308,318,326,341,359,380,394,410,423,431,449,462
Guinea,236,249,263,279,298,311,316,317,324,328,328,333,339,338,341,344,357,367,377,391,406,421,436,452,469,487,502
Guinea-Bissau,58.8,59.8,61.1,62.4,63.8,65.8,66.8,68,69.8,71.4,72.7,72.3,74,75.1,77.7,77.9,80.7,83.7,85.8,89.2,91.3,92.4,95.8,99,102,105,108
Guyana,33.8,34.2,34.1,35.3,35.6,36.7,38.2,41.4,41.9,42.5,45.8,43.1,44.8,47.1,49.8,51.7,52.5,55.8,57.6,59.2,61.1,60.8,61.7,63.3,64.5,65.5,62
Haiti,587,599,606,626,650,657,661,666,676,699,710,724,732,751,770,791,814,834,858,885,915,948,981,1010,1040,1070,1100
Honduras,117,120,125,128,132,138,144,149,155,161,166,172,179,186,193,200,206,213,220,227,234,242,250,258,267,276,285
Hungary,2100,2160,2220,2270,2300,2310,2340,2330,2330,2330,2310,2280,2250,2240,2220,2180,2150,2110,2100,2100,2080,2070,2060,2070,2080,2120,2150
Iceland,29,29.6,30.4,31.3,32.2,32.8,32.5,33.2,33.1,32.7,32.8,33.1,33.9,34.1,34.4,34.7,34.9,35.4,35.3,35.4,36,37.4,38.4,40.3,42.1,44,45
India,26300,27100,28100,28800,29700,30600,31700,32900,33800,34800,35900,36700,37500,38400,39600,41000,42200,43700,45300,47000,48900,50600,52200,54400,56900,59100,60500
